Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2023-07-26 19:44:46",88.00,,,,,
"2023-07-26 19:44:46",88.00,,,,,
"2023-07-26 19:44:07",88.00,,,,,
